"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC123729278",0.811328663098704,1.7455341952596,3.67853042080592,0.474519439987989,0.635129538604137,NA
"LOC123726713",6.65141800764669,3.42947493614668,1.99713428033303,1.71719797207367,0.0859430059632486,0.409336884098722
"LOC123726714",21.0254324386206,2.67060770160903,1.26537168801162,2.11053220718537,0.0348125400283969,0.253555371200973
"LOC123726716",25.9566912111265,1.74788344433362,0.958506802893515,1.82354829309209,0.0682203897511731,0.364266615145012
"LOC123726718",9.98155241579278,1.59133243805125,1.27642266588822,1.24671277044732,0.212502834594222,0.616470884614151
"LOC123726719",8.25126968487624,3.31290573706734,1.45989849181668,2.26927129224224,0.0232518331834303,0.19980373553735
"LOC123726721",1.13975203114278,2.2433407360748,3.38978870323027,0.661793678743759,0.508103457846094,NA
"wdr32",163.843278252587,-0.0745153927151952,0.319757852505087,-0.233036943835522,0.815732718349852,0.958031402761417
"trnaa-ugc",1.03278337018054,2.2050770593069,3.48106344144558,0.633449259514557,0.526440305835092,NA
"LOC106563190",460.114228995309,-0.239078137321261,0.287611647071666,-0.831253322858962,0.405830537371974,0.782374351946051
"manba",346.119923875329,0.0972250465732774,0.355474374164418,0.273507891537374,0.784462826958173,0.950156208579328
"LOC106610064",22.1584340804023,-0.896651563082104,0.945277603857662,-0.948558983543971,0.342844960337235,0.738200608673441
"LOC106607815",31.8166524129084,1.02150617122823,0.724758024415409,1.40944444465058,0.158703789886588,0.545081565278392
"LOC106606645",337.68638971771,0.00685218826214722,0.363651378598745,0.0188427396825792,0.984966558530296,0.997055640241713
"neff2",0.503742636186424,0.415339569900314,7.6095613319326,0.0545812763420924,0.956472055833832,NA
"LOC106593885",920.051618387862,-0.677594818196198,0.387366280728361,-1.74923541853494,0.0802503340955243,0.395305756938019
"LOC123726690",0.187851588566682,0.839057677509156,8.80506385938,0.0952926282999425,0.924082397774306,NA
"LOC100316613",310.548116757819,-0.419486123048738,0.359524803648324,-1.1667793676318,0.243299481248396,0.650857801753246
"trnaa-cgc",0.0789227503486872,-3.10358776621267,8.81192987832915,-0.352202957702285,0.724686058964007,NA
"LOC106565696",384.985221019129,0.337777541479368,0.341903921948467,0.987931169535632,0.323186358958057,0.722278279969511
"LOC123729543",6.35634085168468,-0.298948920424075,1.68672604842675,-0.177236203059122,0.859322859857376,0.968576005084422
"noto",5.63078759348073,3.38884330190006,2.70005551710944,1.25510134159316,0.20944197351936,NA
"LOC106593289",82.973402258928,0.113734320259023,0.563621250364856,0.201792108060862,0.840079251492344,0.963835348701017
"gfra4a",0.447058021981973,1.97872714480824,7.94336862168275,0.249104282962139,0.803280116544566,NA
"LOC123729553",15.6377115967131,1.41119531420355,1.13785581320943,1.24022331988017,0.214892805242661,0.619436416401768
"LOC106610160",316.140991251354,-0.0487704333272768,0.32353263833282,-0.150743472369877,0.880178079053634,0.973419515828121
"LOC123729576",3.41689790827864,4.89384189189652,2.61231503082971,1.8733735533965,0.0610168193674131,NA
"LOC106600683",27.133376704202,-0.702787922350625,0.697907269363703,-1.00699326859193,0.313938009003914,0.714245910161775
"slc4a11",5.99457294432985,-0.595412113067798,1.42617428895612,-0.417489024783643,0.676320750395895,0.915910743132757
"LOC106599499",24.6233357109412,1.88748820151919,0.960384043787886,1.96534731467912,0.0493740528526801,0.306770679026746
"LOC106578259",97.7398524425515,0.435987122161461,0.47641978554215,0.915132274922885,0.360122193247189,0.749820238570159
"LOC123729642",56.3817143854907,4.18450962586853,1.49338023285689,2.80203898096563,0.0050780737403177,0.0759803901698217
