"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC123729278",0.811328663098704,1.91097944950945,2.80421548044104,0.681466692855177,0.495576235089026,NA
"LOC123726713",6.65141800764669,2.73773004866315,1.51878561919743,1.80257833235862,0.0714544624402733,0.215864888593255
"LOC123726714",21.0254324386206,3.05059627947665,1.0254768550316,2.9748075390572,0.00293172420949464,0.0219781245441415
"LOC123726716",25.9566912111265,2.42584959562012,0.734139035864885,3.3043462847092,0.000951981650646079,0.00920289188691051
"LOC123726718",9.98155241579278,1.63879386763182,0.961810704476054,1.7038632030245,0.088406646894575,0.24866123539236
"LOC123726719",8.25126968487624,1.3048991356059,1.11355734144386,1.17182931407371,0.241265590965731,0.467012320120537
"LOC123726721",1.13975203114278,2.71150680259558,2.65600523811008,1.02089663216364,0.307303414927619,NA
"wdr32",163.843278252587,0.00572819684385985,0.240158933237138,0.0238516917386692,0.980970907715037,0.990538819033328
"trnaa-ugc",1.03278337018054,2.00346793237209,2.7062547272056,0.740310183011047,0.459111803528544,NA
"LOC106563190",460.114228995309,-0.38306264069729,0.214612931815246,-1.78490008713482,0.074277524538183,0.221703629728588
"manba",346.119923875329,0.553172361582688,0.265464273820204,2.08379211869897,0.0371790805481374,0.138257551071053
"LOC106610064",22.1584340804023,-0.182334215228854,0.705223963684212,-0.258547957270635,0.795984042121796,0.899329775704514
"LOC106607815",31.8166524129084,1.16004232594857,0.59124458563681,1.9620345862434,0.0497584577082218,0.169142921057946
"LOC106606645",337.68638971771,0.222419512130463,0.273296405007347,0.813839875151245,0.415736688317334,0.640751500931016
"neff2",0.503742636186424,-1.1178164461985,5.68072471019343,-0.196773563801234,0.844004739665403,NA
"LOC106593885",920.051618387862,-1.26785728105022,0.289505914973001,-4.37938299522641,1.19015801883812e-05,0.000280933334582991
"LOC123726690",0.187851588566682,-1.11793481578352,6.58344186121047,-0.169810084048949,0.865159496186372,NA
"LOC100316613",310.548116757819,-0.477014037237611,0.269576197820463,-1.76949612426577,0.0768111169947241,0.22694733763963
"trnaa-cgc",0.0789227503486872,0,6.58344186541281,0,1,NA
"LOC106565696",384.985221019129,0.599682644157527,0.256938060063033,2.33395801311184,0.0195979205557556,0.088485610018153
"LOC123729543",6.35634085168468,-0.121968055665611,1.27648960443951,-0.0955495879021795,0.923878304945503,0.963966925943003
"noto",5.63078759348073,5.22364902387917,2.20714135366968,2.36670343528027,0.0179473076685304,0.0830305437226075
