"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC123729278",0.811328663098704,1.69601760281678,1.16835685129595,1.45162635964821,0.146605525265098,NA
"LOC123726713",6.65141800764669,1.62115555885792,0.651970684797897,2.4865467062533,0.0128989636484892,0.0735941471855916
"LOC123726714",21.0254324386206,0.838762843604598,0.417189525602885,2.01050791577879,0.0443774592708765,0.164125943212773
"LOC123726716",25.9566912111265,1.33024158647505,0.286281018064623,4.64662867090535,3.37403712025991e-06,0.00040257699795966
"LOC123726718",9.98155241579278,0.78902772600393,0.431401895350883,1.82898530235286,0.0674018100752497,0.212848748731749
"LOC123726719",8.25126968487624,0.188277347565117,0.521890515886416,0.36076023961718,0.718278688099207,0.854730882065249
"LOC123726721",1.13975203114278,1.89100674040215,1.09771282106877,1.72267892303654,0.0849466038891434,NA
"wdr32",163.843278252587,-0.0793803245410776,0.10573376563883,-0.750756620285595,0.452799140687973,0.667261600686676
"trnaa-ugc",1.03278337018054,-0.566302490530027,1.12923322448823,-0.501492940740098,0.616024244759933,NA
"LOC106563190",460.114228995309,-0.161243790226409,0.0997070855656169,-1.61717484080201,0.105840545509626,0.281575790884099
"manba",346.119923875329,0.317596339500923,0.124162602734085,2.5579065878726,0.0105304375020005,0.064569344064964
"LOC106610064",22.1584340804023,-0.00179124284607088,0.33497687277173,-0.00534736273358048,0.995733442167071,0.998433624168022
"LOC106607815",31.8166524129084,0.0288887552259207,0.236015717884493,0.122401827661575,0.902580791131397,0.955985168514156
"LOC106606645",337.68638971771,0.128625453765518,0.124213094798665,1.03552249441981,0.300424966871151,0.52905512477963
"neff2",0.503742636186424,-0.343215968883756,2.44338634067732,-0.140467335504796,0.888290759071156,NA
"LOC106593885",920.051618387862,-0.56612875850911,0.150227392269162,-3.76847890359954,0.000164245363361883,0.00440667719382485
"LOC123726690",0.187851588566682,-1.38262952003148,3.01688365506958,-0.458297262378053,0.646738890682773,NA
"LOC100316613",310.548116757819,-0.253680303902461,0.119045555961866,-2.13095148200008,0.0330931394653999,0.135349446366557
"trnaa-cgc",0.0789227503486872,0.178619172734327,3.02135752931287,0.0591188467440163,0.952857447364422,NA
"LOC106565696",384.985221019129,0.243471009610897,0.1206256409431,2.0184017900949,0.043549433113828,0.162172521605774
"LOC123729543",6.35634085168468,0.417777304234936,0.541433816061817,0.771612876479879,0.440343745540788,0.656845029727144
"noto",5.63078759348073,1.09775272191278,0.892619516177411,1.22981035258319,0.21876813056137,NA
"LOC106593289",82.973402258928,0.0212210121308319,0.194235670077021,0.109253939415026,0.913001078849311,0.960962999004446
"gfra4a",0.447058021981973,-1.18132924129629,2.61230638854232,-0.452216955284285,0.651112694687877,NA
"LOC123729553",15.6377115967131,0.219036715498883,0.335792598020488,0.65229762892367,0.514209189346267,0.715853342084301
"LOC106610160",316.140991251354,0.0857641113654443,0.108024711720364,0.793930481272249,0.42723590351263,0.645987959425318
"LOC123729576",3.41689790827864,-0.326534217251929,0.887557959943852,-0.367901852035202,0.712946419219685,NA
"LOC106600683",27.133376704202,0.0740687442074209,0.234283793710616,0.316149670595268,0.751888906959101,0.874508868965109
"slc4a11",5.99457294432985,0.676140096861993,0.484880946019666,1.3944455900203,0.163183089156756,0.368680441534595
"LOC106599499",24.6233357109412,-0.295904945071308,0.316046870977346,-0.936269181075101,0.349134611707012,0.575835356140992
"LOC106578259",97.7398524425515,0.223326385318657,0.165921539041518,1.3459758546645,0.178310303601113,0.389055302962039
"LOC123729642",56.3817143854907,0.730923234619719,0.580486992978915,1.25915523252089,NA,NA
"cfd",27855.7475886544,0.0726751367373524,0.140471543217376,0.517365546592519,0.60490100582001,0.783081943659978
"LOC123726692",1.0197694887868,2.23024429400795,1.63795610526273,1.36160199094604,0.173323526593823,NA
"LOC106566220",18.2073729006375,0.669470049453209,0.364887730327393,1.83472885989488,0.0665458739266185,0.211231852967666
"LOC106560213",0.358258750410461,-0.214774226693908,2.74949223994592,-0.078114141794462,0.937737258042779,NA
"LOC106601271",345.957053444567,-0.107983596029547,0.133582476112353,-0.808366480186552,0.418879642290559,0.638333891151142
"LOC106602449",129.464830408042,0.12300622662174,0.115535583140732,1.06466097524178,0.287029375920532,0.513760607321922
"LOC106607996",239.093073030979,-0.568250998391403,0.157215243491399,-3.61447774256375,0.000300953667833802,0.00640808264678066
"LOC106560212",82.1025591016756,-0.00979861757991541,0.210889969971323,-0.046463174997122,0.962941084465699,0.98393007212338
"LOC106592208",0.46266670573728,0.665835245634866,1.73574942003628,0.383601018642972,0.701274184904108,NA
"trnav-cac",0.380788513804452,0.136579034497968,2.02954587874217,0.0672953668741965,0.946346565228375,NA
"trnal-uaa",0.570418747911267,0.370891368471255,2.42883990033502,0.15270309435385,0.878632420445654,NA
"trnav-uac",0.351887583976094,0.592462285519429,3.00142543745043,0.197393637745237,0.843519508020847,NA
"trnav-aac",0.537018321020161,0.867428696217475,2.47151794972238,0.350970016752219,0.725610842480219,NA
"trnav-cac_1",0.0497743150188792,-0.580680005193013,3.02135752931287,-0.192191754719301,0.847592004291731,NA
"trnav-cac_2",0,NA,NA,NA,NA,NA
"trnap-agg",0.0731392268715997,-0.852488942119908,3.02035699855158,-0.282247741749973,0.777753553140119,NA
"LOC106568467",1.79363019401062,0.626543908970307,0.989269829473111,0.633339752516265,0.526511799068352,NA
"LOC106569409",344.246097705021,0.0185433457095002,0.0869009601700231,0.213384819606364,0.831026820048219,0.920464570182398
"LOC106571075",132.992145972126,-0.164988982473775,0.139652557774859,-1.18142470931153,0.237434046868221,0.460594087599771
"LOC106594790",197.919374584863,-0.0277680034714851,0.114856228218454,-0.241763149479984,0.808963694400544,0.90813376038644
"LOC106577206",179.311109598669,-0.0621378101206017,0.107639893225205,-0.577274914149132,0.563753757152768,0.754832001295219
"LOC106590819",122.957074944647,-0.305274581516006,0.168896880916249,-1.80746133297383,0.0706903784006414,0.219221843569024
"psen1",427.168331802776,0.0171864703256824,0.087089244962728,0.197343200449582,0.843558974922798,0.926641402154646
"paplna",121.289843290301,0.307293935424996,0.13753007025984,2.23437634289299,0.0254583209455802,0.114118403773502
"LOC106578466",130.711383855239,0.41340368509868,0.172480786521189,2.39681006468447,0.01653849412135,0.085975986413668
"slc2a1c",1.4711445738065,-0.525749801982932,1.10392217593184,-0.476256219365406,0.633891851720192,NA
"smoc1",1428.42809970212,0.00613754982326341,0.0875525365346581,0.0701013364796556,0.944113002964427,0.975056940987316
"ccdc177",22.9945653748446,0.337116048137676,0.289153976796199,1.16587035002213,0.243666868432011,0.467727318114778
"LOC106586368",5.09343335560562,-0.756172485917076,0.586399892208697,-1.28951675463125,0.197218495365022,NA
"slc39a9",459.9119703748,-0.25138954678197,0.119689836595069,-2.10034163245175,0.0356987994564125,0.142241369247484
"LOC123726725",0.060984882198909,-0.799363448656636,3.02082733693655,-0.264617391031451,0.791304221476203,NA
"LOC123726726",0.471494801676558,-0.158212166813185,1.92798675063874,-0.0820608164245785,0.934598351956973,NA
"LOC123730381",1.85720619177903,-0.556531213921241,1.02631714449677,-0.54226046686,0.587639085477665,NA
"LOC106585227",2.04484942235193,0.925212352945758,0.89319605727898,1.03584464508757,0.300274625612501,NA
"LOC106599215",250.073996788107,0.0701619413431361,0.124690005575138,0.562690979277057,0.573645327914489,0.761959822689629
"LOC106599105",131.692793280756,0.616858570177314,0.44165760689968,1.39668956345504,0.162506943958176,0.367611219689896
"LOC106598856",59.4004566089408,-0.182361543956606,0.319669805288795,-0.570468467585974,0.568360003025958,0.758224843708414
"si:ch211-10a23.2",87.4754758041675,0.196641309332561,0.249166034133527,0.789197893751369,0.429996352836278,0.648324445215343
"plek2",259.925982343977,0.776234714020437,0.279399338764127,2.77822673974094,0.00546564638875652,0.0421266750848929
"LOC106599381",7.26806742069232,-0.672715390292717,0.468253106168589,-1.43664907168926,0.150817732692847,0.351386504150506
"fbln5",601.093265911186,-0.602745933048226,0.116748243702922,-5.16278372959492,2.4330418727278e-07,7.53365093258109e-05
"LOC106593613",337.498349636837,-0.0585252928586166,0.0799907613197105,-0.731650654313692,0.464381822303368,0.676086946356253
"ndufaf1",133.531230793133,-0.522202914083599,0.216202599331093,-2.41534059118271,0.0157205020392469,0.0832323346489533
"LOC106594936",115.653328974532,-0.691999217428779,0.190947779622566,-3.62402337852061,0.000290055369801245,0.0062788150749628
"LOC106593071",179.81408892568,0.155987098659523,0.118065782109681,1.32118803494322,0.18643867485749,0.399714723749311
"LOC106592535",59.6139244366522,0.153816454063551,0.162921603801925,0.944113306486694,0.345111750233136,0.572155545559162
"LOC106599806",193.624867797824,-0.0888673473152664,0.134900964693012,-0.658759909667789,0.510049955094638,0.712626473733975
"LOC106589466",39.3653722927101,0.706644141148204,0.272628402827559,2.59196816552957,0.0095428601571793,0.0607273460256106
"pcnx1",859.23601357223,0.0817601285723014,0.0849319338479224,0.962654738542744,0.335720817749871,0.56342697632466
"med6",140.948894630723,-0.116421083138188,0.116679229450793,-0.997787555558769,0.318382385855771,0.546470001419334
"LOC106600624",17.9812974705515,-0.147710088258296,0.388562958403135,-0.380144543024214,0.703838122690324,0.846160906772254
"LOC123730543",0.0610714301299506,-0.631299774784714,3.02135752931287,-0.208945736696143,0.834490599357628,NA
"map3k9",4.50599031110135,-0.150316479957616,0.62433114278148,-0.240764026743782,0.809738012041993,NA
"LOC106600501",14.8000414817668,-0.119474688302026,0.392884180303826,-0.304096459698717,0.76105440395433,0.879972190047641
"LOC123726695",0.251528908021869,0.98395978203324,3.01533164796248,0.326318925050291,0.744183071103159,NA
"actn1",714.006392007466,0.292906365612828,0.124184630331197,2.35863620829449,0.018342227115132,0.0917668485394229
"dcaf5",206.81305302756,-0.0150635705749593,0.104775295133206,-0.143770251907268,0.885681894327133,0.948117272829096
"pacs2",65.4458866341533,0.395174387230575,0.225919521286278,1.74918212016669,0.08025954371658,0.23714653340327
"srsf5a",1302.95725214439,0.059199603482286,0.0469330638963365,1.26136242911912,0.207178298160322,0.424489426124369
"LOC106602928",102.479197987351,-0.124669402466845,0.165094932079728,-0.755137670771377,0.450166382251775,0.665470533743628
