"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC123729278",0.811328663098704,1.88007428710802,3.15211855063231,0.596447835609126,0.550876092195248,NA
"LOC123726713",6.65141800764669,2.31054349052404,1.73898778405827,1.32867149022286,0.183956374749317,0.35891956093073
"LOC123726714",21.0254324386206,3.20993823382191,1.13887773520621,2.81850995466226,0.00482471149516704,0.0243187357405632
"LOC123726716",25.9566912111265,2.37092013878456,0.857304854638351,2.76555081422549,0.00568267507516644,0.0277036341371707
"LOC123726718",9.98155241579278,2.65381029805617,1.12700537816503,2.35474501672482,0.0185354195771778,0.0687578766706093
"LOC123726719",8.25126968487624,1.38040965314055,1.36995731304824,1.00762968305126,0.313632273470106,0.511648030239363
"LOC123726721",1.13975203114278,2.9468059754198,2.93396996488573,1.00437496316857,0.315197913225785,NA
"wdr32",163.843278252587,-0.252553617098692,0.277297214236944,-0.910768677549317,0.362417269416163,0.559075933244827
"trnaa-ugc",1.03278337018054,4.16717786643702,3.06766384362837,1.35842063500288,0.174330250219657,NA
"LOC106563190",460.114228995309,-0.427902112661884,0.252861886263888,-1.69223649710231,0.0906008902963134,0.220200843570011
"manba",346.119923875329,0.371499111371249,0.335326686680523,1.10787219188787,0.267917016700726,0.462033037813745
"LOC106610064",22.1584340804023,0.534132038238292,0.84364824254848,0.633121734035496,0.526654150360709,0.703352890982042
"LOC106607815",31.8166524129084,0.888031909363043,0.649810429189786,1.36660150325732,0.171750245785979,0.343147838904003
"LOC106606645",337.68638971771,0.577085024868846,0.322903066868188,1.7871772803707,0.0739088401515365,0.190359041399716
"neff2",0.503742636186424,-0.510679002050592,6.29821731796,-0.081083102768515,0.935375863474473,NA
"LOC106593885",920.051618387862,-0.535562481061243,0.374791900693932,-1.42895959082798,0.153015848162417,0.31669460562654
"LOC123726690",0.187851588566682,-1.47248286226193,7.79021802287975,-0.189016900160852,0.850079571133467,NA
"LOC100316613",310.548116757819,-0.285864191921849,0.312962988230801,-0.913412137127961,0.361025824592804,0.557817647754754
"trnaa-cgc",0.0789227503486872,-0.510744546553405,7.79021802287975,-0.0655622917167858,0.947726311341514,NA
"LOC106565696",384.985221019129,0.0443019844654467,0.306357656460455,0.144608706625112,0.885019822604941,0.940211341865365
"LOC123729543",6.35634085168468,-1.12644930427033,1.45501042005048,-0.774186417325627,0.438820559354997,0.630842392957215
"noto",5.63078759348073,6.51714970391834,2.49198897251246,2.61524018597388,0.00891647291919802,0.0391942497367286
"LOC106593289",82.973402258928,0.285821139281498,0.497276926375375,0.574772574639313,0.565445117076891,0.73356012458569
"gfra4a",0.447058021981973,-0.270285601184295,6.66573556577603,-0.0405485033897873,0.967655838700999,NA
"LOC123729553",15.6377115967131,0.262219001401,1.0186191732893,0.257425943156213,0.796849977799689,0.888464853830209
