"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC123729278",0.811328663098704,1.67312329049545,2.48979540349136,0.671992280228841,0.501588610888464,NA
"LOC123726713",6.65141800764669,0.709448132469997,1.38909782700071,0.510725824114067,0.609543055359085,0.769059466781284
"LOC123726714",21.0254324386206,2.62397676736918,0.951637193537768,2.75732893290393,0.00582756967123852,0.0303397457296898
"LOC123726716",25.9566912111265,0.807740483249938,0.685987670960851,1.17748542348954,0.239001812148212,0.435583569227133
"LOC123726718",9.98155241579278,0.17560718043478,0.874225631169786,0.200871690526625,0.840798904207295,0.917000196618335
"LOC123726719",8.25126968487624,1.06946067622201,1.08863707112001,0.98238495141611,0.32591023718388,0.529361672965334
"LOC123726721",1.13975203114278,2.77164387354792,2.36290223316444,1.17298288293379,0.240802669966881,NA
"wdr32",163.843278252587,-0.128126403877585,0.214006636254811,-0.598702947347055,0.549370991414681,0.724487287904211
"trnaa-ugc",1.03278337018054,2.2578869326043,2.39197428027068,0.943942813778413,0.345198871993724,NA
"LOC106563190",460.114228995309,-0.400551808643784,0.19197628929071,-2.08646500108786,0.036936522318499,0.119570936450934
"manba",346.119923875329,-0.0780572727888552,0.255701993529091,-0.305266578924715,0.760163127987444,0.869669435925254
"LOC106610064",22.1584340804023,-0.317504494572696,0.638818798281977,-0.497018083103667,0.619176299460275,0.775893408876446
"LOC106607815",31.8166524129084,1.90354558129763,0.540160018224891,3.52404013083603,0.000425019872545972,0.00391568119593464
"LOC106606645",337.68638971771,0.457536890140535,0.246161754159111,1.85868390361241,0.0630719563523302,0.175692089122487
"neff2",0.503742636186424,0.220913974953987,4.76110308319955,0.0463997462549223,0.962991638755917,NA
"LOC106593885",920.051618387862,0.0402767777779278,0.282925846298787,0.142358071221931,0.886797179334016,0.942256710520007
"LOC123726690",0.187851588566682,0.22090230704261,5.88903734427124,0.037510766892572,0.970077755450802,NA
"LOC100316613",310.548116757819,0.0538093553669068,0.237422839885538,0.226639338459806,0.820704200459244,0.905740685683006
"trnaa-cgc",0.0789227503486872,0.220868948887768,5.88903734427124,0.0375051024430377,0.970082271849576,NA
"LOC106565696",384.985221019129,0.34314911992827,0.235288837729939,1.45841648604738,0.144725779230437,0.313051117406441
"LOC123729543",6.35634085168468,-0.0336677603792047,1.13811051462169,-0.0295821538828292,0.976400298223349,0.989020920848848
"noto",5.63078759348073,4.84389514783108,2.08792837958708,2.31995273170674,0.0203434345126518,0.0775997336810429
"LOC106593289",82.973402258928,0.228816238681287,0.378829367910932,0.604008712268276,0.545837849867241,0.72234035190591
"gfra4a",0.447058021981973,1.42313387009867,5.02739617285375,0.28307573566275,0.777118781320934,NA
"LOC123729553",15.6377115967131,1.62200611744461,0.86094669341135,1.88397972819629,0.0595677175873855,0.168913672380642
"LOC106610160",316.140991251354,0.472531142160683,0.215693361473503,2.19075422132883,0.0284695830261032,0.0991127517552813
"LOC123729576",3.41689790827864,4.98121322542352,1.99007078961848,2.50303318425094,0.012313399826519,0.0532516336025853
"LOC106600683",27.133376704202,0.421787729744891,0.490734566497954,0.859502791406992,0.390063180620541,0.589946483638066
"slc4a11",5.99457294432985,0.173406319886744,0.96169434830249,0.180313339880626,0.856906583603074,0.925591927254181
"LOC106599499",24.6233357109412,1.35583818238633,0.733331573979073,1.84887468437985,0.0644759099595076,0.178519819941805
"LOC106578259",97.7398524425515,0.0574391349928717,0.32053228079487,0.179199220903529,0.857781275453706,0.926075358411429
"LOC123729642",56.3817143854907,0.302448512620208,1.00125426108974,0.302069638426338,0.762598976982077,0.870993451114855
"cfd",27855.7475886544,0.156467080997168,0.235462150357832,0.664510541330676,0.506363604425922,0.691040048980877
"LOC123726692",1.0197694887868,2.16878318667197,3.39840755414489,0.638176308202585,0.523358917676233,NA
"LOC106566220",18.2073729006375,2.06142050214067,0.822283425466107,2.50694643513234,0.0121779164737749,0.0528943092159754
"LOC106560213",0.358258750410461,0.220696395794281,5.3147164026672,0.0415255263072032,0.966876943350923,NA
