"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC123729278",0.811328663098704,1.70486050731551,3.14388455367504,0.542278343307047,0.58762677236663,NA
"LOC123726713",6.65141800764669,2.95017788417332,1.74857782118125,1.68718706621838,0.0915673875772141,0.23138776010135
"LOC123726714",21.0254324386206,3.03329308892887,1.13788261347568,2.66573463115288,0.0076820304802439,0.0394628039386598
"LOC123726716",25.9566912111265,1.81616939250608,0.853638663825669,2.12756224556035,0.0333733952993498,0.114519486938576
"LOC123726718",9.98155241579278,1.03062601155206,1.09825275216421,0.93842333608645,0.34802689800837,0.556325057109062
"LOC123726719",8.25126968487624,1.60923564102955,1.37270384049,1.17231087548725,0.2410722668248,0.442670977513982
"LOC123726721",1.13975203114278,5.39211657456763,3.00867958519725,1.79218704480761,0.0731030091831091,NA
"wdr32",163.843278252587,0.0791735203611279,0.278248012634781,0.284542985990877,0.775994296704095,0.882197415413514
"trnaa-ugc",1.03278337018054,1.39511857371667,2.98573087522372,0.467261997822269,0.640312441753347,NA
"LOC106563190",460.114228995309,-0.638477311379874,0.252622697565043,-2.52739487597105,0.0114912219961899,0.0527595799556834
"manba",346.119923875329,0.857113631090538,0.335940597931165,2.55138448990367,0.0107295884171452,0.0501932015699125
"LOC106610064",22.1584340804023,0.647724486980921,0.844731764450899,0.76678126032346,0.443211580010528,0.645016972012637
"LOC106607815",31.8166524129084,1.8162987512001,0.655585946901812,2.77049677434915,0.00559708545975364,0.0311867300331732
"LOC106606645",337.68638971771,0.640835731114794,0.322983771110211,1.98411124160205,0.047243440201243,0.146489948934825
"neff2",0.503742636186424,-3.58012196112642,6.26090245151196,-0.571822031864088,0.567442549664904,NA
"LOC106593885",920.051618387862,-1.2610274303072,0.37449332303467,-3.36728948887149,0.000759109569165266,0.00683391235207466
"LOC123726690",0.187851588566682,-0.504024162678034,7.79021802287976,-0.0646996221668922,0.948413163661082,NA
"LOC100316613",310.548116757819,0.328997057798844,0.313927695729924,1.04800265243843,0.294637384825806,0.50095928986241
"trnaa-cgc",0.0789227503486872,-0.504074199910298,7.79021802287976,-0.0647060452518581,0.94840804949708,NA
"LOC106565696",384.985221019129,0.372488843415119,0.306686025190607,1.21456086296601,0.224533623388522,0.421930334474214
"LOC123729543",6.35634085168468,-1.07702308563173,1.4555107495779,-0.739962302541611,0.459322868658427,0.6588795945239
"noto",5.63078759348073,5.57824723972926,2.48009069160761,2.24921098998739,0.0244990755953737,0.0919504639531692
"LOC106593289",82.973402258928,0.263255920794642,0.497184058187529,0.529493889555378,0.596462882151169,0.764753283357367
"gfra4a",0.447058021981973,-0.992344300700941,6.6577722452531,-0.149050502802716,0.881513782533769,NA
"LOC123729553",15.6377115967131,0.305586434344526,1.01885726892629,0.299930563057733,0.76423012098116,0.875245291549862
"LOC106610160",316.140991251354,0.659052959127021,0.282976971882886,2.32899855681465,0.0198591421567157,0.0788345927991034
"LOC123729576",3.41689790827864,7.51978680461608,2.43975413569476,3.08219041197555,0.00205483349733615,0.0146764150927966
"LOC106600683",27.133376704202,0.279421504220599,0.633478504890484,0.441090742722052,0.659147305041826,0.808282972163979
"slc4a11",5.99457294432985,1.07065768059002,1.26116593238665,0.848942754554025,0.395913146838968,0.601928648117869
"LOC106599499",24.6233357109412,-0.556060313556676,0.907361760086283,-0.612831990521398,0.539987435870877,0.724181201249645
"LOC106578259",97.7398524425515,0.58502055840051,0.41570275278755,1.40730499011031,0.159336970271907,0.33807886705983
"LOC123729642",56.3817143854907,3.40638626988249,1.29110508125374,2.63834936392218,0.00833107040964344,0.04183867633596
"cfd",27855.7475886544,1.02417858417232,0.311446343144603,3.2884591735174,0.00100737393821992,0.00845280457717866
"LOC123726692",1.0197694887868,2.35651242752996,4.39866802014301,0.535733184850205,0.592142965372244,NA
"LOC106566220",18.2073729006375,2.3234790168507,1.01343608546708,2.29267444703218,0.0218667547432933,0.0845592519432979
"LOC106560213",0.358258750410461,1.28426430247645,6.97287373362478,0.184180059977773,0.853872201714039,NA
"LOC106601271",345.957053444567,-0.21402554043509,0.342505977105422,-0.624881183808404,0.532049042665781,0.718426462749857
"LOC106602449",129.464830408042,0.509555585716743,0.308153276966706,1.65357834494746,0.0982132156274574,0.24318691409664
"LOC106607996",239.093073030979,-0.354427334607901,0.45345078497385,-0.78162249653695,0.434436461862045,0.636626951673645
"LOC106560212",82.1025591016756,-1.25309461785566,0.558302108183477,-2.24447409294728,0.0248019139852785,0.0927793810610205
"LOC106592208",0.46266670573728,3.23788829461766,4.43941900617252,0.729349559056205,0.46578786414182,NA
"trnav-cac",0.380788513804452,0.741021970457776,5.30755041926522,0.13961656732794,0.888962950001395,NA
"trnal-uaa",0.570418747911267,-0.0628607492505807,6.21820698876111,-0.0101091439001944,0.991934207539663,NA
"trnav-uac",0.351887583976094,1.62098175916293,7.759958981159,0.20889050613523,0.834533715682654,NA
"trnav-aac",0.537018321020161,0.753751478422638,6.45015548966194,0.116857877245087,0.906972678470351,NA
"trnav-cac_1",0.0497743150188792,-1.94658993833031,7.79021802287976,-0.249876182234335,0.802683102880462,NA
"trnav-cac_2",0,NA,NA,NA,NA,NA
"trnap-agg",0.0731392268715997,-0.504074199910298,7.79021802287976,-0.0647060452518581,0.94840804949708,NA
"LOC106568467",1.79363019401062,4.03938416508879,2.70101243944584,1.49550742754726,0.134782062911639,NA
"LOC106569409",344.246097705021,0.0904323175279491,0.22591443397668,0.400294553721538,0.688939578881998,0.828049615843404
"LOC106571075",132.992145972126,-1.10651975477022,0.354692326970661,-3.11966081764647,0.00181059395487109,0.0133421902724319
"LOC106594790",197.919374584863,-0.97848304455808,0.307868139418229,-3.178253671871,0.00148165057169238,0.0114364903502505
"LOC106577206",179.311109598669,-0.0308866265965784,0.284018705487392,-0.108748564794615,0.913401921106859,0.956565768767376
"LOC106590819",122.957074944647,-0.114696407118256,0.415998660377352,-0.275713404976389,0.782768198886782,0.886389769008144
"psen1",427.168331802776,-0.305040304799931,0.227102139366635,-1.34318551842205,0.179211909659858,0.365580679859162
"paplna",121.289843290301,1.30124223244186,0.38306532305543,3.39691993538546,0.000681489033047296,0.00630680365276352
"LOC106578466",130.711383855239,0.733674983803716,0.484133838228289,1.51543834756239,0.129661432306632,0.293819942933377
"slc2a1c",1.4711445738065,2.51026928935523,2.93736495605489,0.854599046053412,0.392773155902342,NA
"smoc1",1428.42809970212,-0.629610121781023,0.223190750858364,-2.8209507757809,0.00478815494094399,0.0277821193466072
"ccdc177",22.9945653748446,0.238530197000047,0.799134658266149,0.298485611320595,0.765332556399915,0.875967631934279
"LOC106586368",5.09343335560562,-1.03892289245787,1.71380801091928,-0.606207279834454,0.544377119271976,0.727464095901525
"slc39a9",459.9119703748,-0.931976504575905,0.297000018841389,-3.13796782980549,0.00170123547525944,0.0127237285660167
"LOC123726725",0.060984882198909,-0.504074199910297,7.79021802287976,-0.064706045251858,0.94840804949708,NA
