"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC123729278",0.811328663098704,-0.175213779792505,1.64791801474048,-0.106324330594868,0.915325027981544,NA
"LOC123726713",6.65141800764669,0.639634393649283,0.909542418302868,0.703248557492007,0.481900863230104,0.661665702114179
"LOC123726714",21.0254324386206,-0.176645144893036,0.523278688363173,-0.337573741911,0.735684432645336,0.850207665619515
"LOC123726716",25.9566912111265,-0.554750746278479,0.436573914256699,-1.27069146406282,0.203838433476702,0.378151195162465
"LOC123726718",9.98155241579278,-1.62318428650411,0.620853977103972,-2.61443809070145,0.00893743561229196,0.0371905179401865
"LOC123726719",8.25126968487624,0.228825987888991,0.706068908462777,0.324084498193216,0.745874062766859,0.85669630666711
"LOC123726721",1.13975203114278,2.44531059914783,1.61609784915268,1.51309563367707,0.130255368562336,NA
"wdr32",163.843278252587,0.331727137459819,0.148877741062433,2.22818491933395,0.0258681862956119,0.0849672825033943
"trnaa-ugc",1.03278337018054,-2.77205929272035,1.61043153561274,-1.72131458644445,0.0851937540188261,NA
"LOC106563190",460.114228995309,-0.210575198717989,0.13552454777119,-1.55377901775779,0.120237137145569,0.263305621356793
"manba",346.119923875329,0.485614519719289,0.180388543725805,2.6920474531766,0.00710148401762116,0.0309466234181862
"LOC106610064",22.1584340804023,0.113592448742628,0.473924784878503,0.239684549884322,0.810574813269846,0.895705778130779
"LOC106607815",31.8166524129084,0.928266841837058,0.303076658860262,3.06281204672066,0.0021926773209223,0.0120618899458555
"LOC106606645",337.68638971771,0.0637507062459475,0.172797307452354,0.368933446856663,0.712177332232099,0.834457702955439
"neff2",0.503742636186424,-3.06944295907582,3.29652546562765,-0.931114590522785,0.351794291996442,NA
"LOC106593885",920.051618387862,-0.725464949245957,0.200282662738185,-3.622205433699,0.000292101997145799,0.00223821682484783
"LOC123726690",0.187851588566682,0.968458699583899,4.1646657335536,0.232541760022008,0.816117256202524,NA
"LOC100316613",310.548116757819,0.614861249720693,0.169268952583899,3.63245143503758,0.00028074142433496,0.00216506087181811
"trnaa-cgc",0.0789227503486872,0,4.1646657335536,0,1,NA
"LOC106565696",384.985221019129,0.328186858949672,0.161602573297583,2.03082693705212,0.0422725534728311,0.12304922654539
"LOC123729543",6.35634085168468,0.0494262186386084,0.728502882833026,0.0678462910762936,0.945907993681296,0.972342554119416
"noto",5.63078759348073,-0.93890246418908,1.14330468179874,-0.821218069982816,0.411522065546841,0.59941858566338
"LOC106593289",82.973402258928,-0.0225652184868562,0.268116126321508,-0.0841621083984982,0.932927544380465,0.965845050600591
"gfra4a",0.447058021981973,-0.722058699516646,3.55935342625173,-0.202862321620315,0.839242644893669,NA
"LOC123729553",15.6377115967131,0.0433674329435262,0.429911949430448,0.100875151297794,0.919649568861754,0.958741615294273
"LOC106610160",316.140991251354,0.236542784915938,0.151798717799479,1.55826602717687,0.119170198764923,0.261636027138687
