"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC123729278",0.811328663098704,0.0317372168200657,1.91966789453281,0.0165326601077472,0.986809446646895,NA
"LOC123726713",6.65141800764669,2.24072975170333,1.06204989618508,2.10981589448113,0.0348742168543574,0.11263153899193
"LOC123726714",21.0254324386206,0.409316321559692,0.623832193302412,0.656132091216507,0.511739137922215,0.692577245706696
"LOC123726716",25.9566912111265,1.00842890925614,0.50805603174363,1.9848773486563,0.0471581190972472,0.140450226735629
"LOC123726718",9.98155241579278,0.855018831117281,0.664749227773237,1.286227641033,0.198363627063287,0.382337702200619
"LOC123726719",8.25126968487624,0.539774964807537,0.836177186976133,0.645527016540029,0.518585716307497,0.697914217869884
"LOC123726721",1.13975203114278,2.62047270101971,1.86252578477945,1.40694573059562,0.159443481751847,NA
"wdr32",163.843278252587,0.207299924238712,0.177828930519932,1.16572665444601,0.243724979874015,0.437884225501879
"trnaa-ugc",1.03278337018054,-0.86276835888763,1.78695545911068,-0.482814697192849,0.629227314266475,NA
"LOC106563190",460.114228995309,-0.23792550273609,0.164205177331858,-1.44895250321641,0.147350847253619,0.313133699468707
"manba",346.119923875329,0.935170903879393,0.217882083924672,4.29209638091541,1.76994086308468e-05,0.000248826773968162
"LOC106610064",22.1584340804023,0.965228981553617,0.552705479323018,1.7463712911547,0.0807464552051353,0.205616931355441
"LOC106607815",31.8166524129084,-0.0872468300975334,0.371511024064384,-0.23484317946488,0.814330452406164,0.899752809801425
"LOC106606645",337.68638971771,0.183298840974259,0.209100287116346,0.876607313658395,0.380699965350664,0.579436377935679
"neff2",0.503742636186424,-3.8010359360804,4.06621383010723,-0.934785059245192,0.349899080844953,NA
"LOC106593885",920.051618387862,-1.30130420808513,0.245353329601471,-5.30379681498044,1.13418549841287e-07,3.24365940861702e-06
"LOC123726690",0.187851588566682,0,5.10044661531825,0,1,NA
