"","value.var"
"rl15",0.277278912143815
"rpl14",0.269432404720472
"LOC106580567",0.267862264509185
"rpl27a",0.262450155706791
"LOC106596048",0.259330536341052
"LOC106586748",0.256147534617657
"rpl13",0.256065685847438
"LOC106588994",0.241266643916669
"LOC106570285",0.238995437137314
"rl28",0.236964613991795
"LOC106594111",0.21886438967428
"LOC106565539",0.215139047795309
"LOC100194650",0.195614898030313
"si:busm1-57f23.1",0.185763471170324
"faub",0.162043069677921
"LOC106584198",0.154893204463981
"rps9",0.149843431290583
"LOC106570647",0.1342164620345
"LOC123732474",0.117699314729694
"LOC106600765",0.117645834472827
"LOC106581959",0.112071739715067
"rps20",0.0980243314924395
"rs15a",0.0889583498377238
"LOC106587490",0.081933223495682
"LOC106562787",0.0655465543892189
"LOC106580593",0.0650444824719116
"LOC106574971",0.058770093114793
"LOC106566201",0.0560285241821757
"catk",0.0447055174620747
"LOC106609058",0.0263341866335486
