"","value.var"
"O57561",-0.0174509830229638
"A0A1S3PXN0",0.0174333482866174
"A0A1S3RBM8",-0.017372365644279
"B5X317",-0.0172672963274536
"A0A1S3PYU1",-0.01722792639514
"A0A1S3P391",-0.0172180376521833
"A0A1S3NPR2",-0.0171916650844833
"A0A1S3Q941",-0.0171828624248195
"A0A1S3L0K5",-0.0171681095816898
"A0A1S3L0C2",-0.0171671828326612
"A0A1S3RJ17",-0.0171611870150235
"A0A1S3SS37",-0.017160199309986
"B5X3E4",-0.0171366067187057
"B5X6D3",-0.0171257340525519
"B5DFU6",-0.0171079574191512
"A8QKW3",-0.0171040568970761
"A0A1S3LCS5",-0.0171027821478721
"A0A1S3LY77",-0.0170909255428082
"A0A1S3RV69",-0.0170897438812029
"B5XDI8",-0.0170740179762451
"A0A1S3RKU6",-0.0170613600362149
"A0A1S3RGW1",-0.0170594637657548
"A0A1S3NSE0",-0.0170440625520331
"A0A1S3L9D5",-0.0170431125647456
"A0A1S3L0M8",-0.0170343871109176
"A0A1S3MWA1",-0.0170116165025076
"A0A1S3LME3",-0.0170032836881232
"A0A1S3Q342",-0.0169999161720667
"A0A1S3T1D0",-0.0169997811214611
"A0A1S3R5B2",-0.0169979402247128
"A0A1S3T378",-0.0169922702405111
"B5X1R3",-0.0169898070672475
"B5XEX2",-0.0169850039108913
"A0A1S3SML1",-0.0169782545224537
"A0A1S3N2Z0",-0.016973743535785
"A0A1S3PWS4",-0.0169576105938307
"B5XF68",-0.0169559690326133
"A0A1S3R7U5",-0.0169437300007629
"A0A1S3RJI9",-0.0169291177106968
"A0A1S3PED2",-0.0169287945212622
"B5XF34",-0.0169245818681679
"A0A1S3RW38",-0.0169156101905377
"A0A1S3KS43",-0.0169126473493798
"A0A1S3PSM1",-0.0169099224393873
"B9EMI7",-0.016905292037669
"A0A1S3L478",-0.016903336475696
"A0A1S3PLB7",-0.0169021443175069
"A0A1S3MQY2",-0.0169015763167591
"A0A1S3RAH8",-0.016896452576825
"A0A1S3NKF7",-0.0168959884906967
"C0H808",-0.0168946714420977
"A0A1S3NG57",-0.0168936653968279
"A0A1S3LD58",-0.0168926089925922
"A0A1S3LIR1",-0.0168873419008956
"A0A1S3KSG1",-0.016886253749464
"A0A1S3N8J6",-0.0168857429988793
"A0A1S3SCN1",-0.0168852289023151
"B5DGA8",-0.0168823340318333
"B5X3Q6",-0.0168819311141533
"A0A1S3LQE4",-0.0168781135965424
"A0A1S3NDF1",-0.0168779810885748
"A0A1S3KJD2",-0.0168767262205061
"A0A1S3MAH6",-0.0168754916591788
"A0A1S3L755",-0.0168742138180843
"A0A1S3QNH0",0.0168741071673035
"A0A1S3KMI9",-0.0168715111018671
"A0A1S3NJV5",-0.0168653602233776
"B5DG67",-0.0168635223092798
"A0A1S3LQ97",-0.0168617903972999
"M4V3H0",-0.0168609960427962
"B5DGK7",-0.016860718605959
"B5DG94",-0.0168605590771671
"A0A1S3KIY4",-0.0168555392344512
"A0A1S3MNT5",-0.0168487127777795
"B5DG02",-0.0168457833236419
"Q9DF27",-0.0168447395237247
"A0A1S3NPL9",-0.0168444907648316
"B5X919",-0.0168443376702768
"A0A1S3NCH7",-0.0168419428369492
"A0A1S3KJP7",-0.0168379325594341
"A0A1S3QQA2",-0.0168369423467936
"B5X748",-0.0168363224311295
"B5X3H7",-0.0168326249803638
"A0A1S3RFT4",-0.0168303003568634
"B5X456",-0.0168301264300021
"A0A1S3NDX3",-0.0168259152688536
"B5XA15",-0.0168253334410535
"B5XFP8",-0.016821794456914
"A0A1S3PZR7",-0.0168209982118147
"B5DGB6",-0.0168179921460672
"A0A1S3N308",-0.0168170328996692
"A0A1S3RRY0",-0.0168165816847047
"A0A1S3PXL8",0.016816121292893
"A0A1S3M896",-0.0168158358381291
"B5X0S5",-0.0168148782508042
"B5XEE6",-0.0168113274221821
"B5X0W4",-0.0168079647129658
"A0A1S3Q6N5",-0.0168057184316444
"A0A1S3RCE4",-0.0168048368689026
"A0A1S3P7C5",-0.0168033067395102
"A0A1S3M2F7",-0.0168027085702513
"A0A1S3NWB8",-0.0168026826581463
"B5X6U7",-0.0168016538175803
"A0A1S3R8Q4",-0.016798325338434
"A0A1S3R385",-0.0167982388209635
"B9EPY4",-0.0167958729210672
"A0A1S3LQ00",-0.0167943378745724
"B5DH01",-0.0167897866322786
"A0A1S3T0M4",-0.0167874356615426
"A0A1S3N9H9",-0.016786360527434
"A0A1S3LT62",-0.016783673556718
"B5XB15",-0.0167830509354286
"A0A1S3LM61",-0.0167814014813503
"B5X8P9",-0.0167798067031496
"A0A1S3KY17",-0.0167794875211995
"B5X300",-0.0167774839881484
"B9EN22",-0.0167753474825659
"A0A1S3P866",-0.0167740484940382
"C0HA51",0.0167720750561779
"A0A1S3STJ7",-0.0167712305223618
"A0A1S3RS58",-0.0167650876828162
"A0A1S3RFL6",0.0167611841698034
"B5X944",-0.0167557785488052
"B5DGW4",-0.0167532069900792
"A0A1S3SBE2",-0.0167518513629394
"A0A1S3LPV5",-0.0167505954771576
"B5XGE7",-0.0167453183640049
"A0A1S3RAF8",-0.0167435446213073
"A0A1S3LLE3",0.0167424611865701
"A0A1S3NHX5",-0.0167421678444901
"A0A1S3PBC6",-0.0167417724120544
"A0A1S3PW89",-0.0167392057492891
"Q9W6K6",-0.0167390496806028
"A0A1S3PHL6",-0.0167364497516395
"A0A1S3KL75",-0.0167336063316274
"A0A1S3RZM0",-0.016729124686095
"A0A1S3L4W8",-0.0167249076063987
"A0A1S3P920",-0.0167226390659923
"A0A1S3N8L4",-0.0167208441254004
"B5X8E1",-0.0167152369530583
"B5DFX3",-0.0167146999541367
"A0A1S3M532",-0.0167145798450257
"A0A1S3NZX7",-0.016714557534992
"B5X2M6",-0.0167145414905782
"B9EPI0",-0.0167140071416164
"B5XG79",-0.0167134532938677
"A0A1S3R5P7",-0.0167131543204666
"A0A1S3KN82",-0.0167128087353933
"C0HA22",-0.0167116723031447
"B5RI51",-0.0167110249176827
"A0A1S3PDD8",0.0167090871754642
"B5X3D5",-0.0167084507909491
"A0A1S3S5L7",-0.0167080866902484
"A0A1S3M7Q8",-0.0167051995278757
"B5DGY8",-0.0167045387293874
"B5X8M1",-0.0167043308451898
"A0A1S3KY33",-0.0167034013559208
"A0A1S3P0W9",-0.0167012541309867
"A0A1S3MWC9",-0.0166974144773202
"A0A1S3PHK1",0.0166972047282007
"A0A1S3Q4E7",-0.0166967760185973
"A0A1S3N6V8",-0.0166950885061647
"C0H8K5",-0.0166857422139322
"B5X5X0",-0.0166850508737513
"B5X2J7",-0.0166841668165623
"A0A1S3MQP8",-0.016683696510149
"A0A1S3NEH1",-0.0166834308020913
"A0A1S3PH67",-0.016682648024445
"A0A1S3MD70",-0.0166767264653228
"C0HBD9",-0.0166753349418445
"A0A1S3R7P9",-0.0166744910144703
"A0A1S3M6H3",-0.0166728956389901
"C0H7M7",-0.0166712959668889
"B5X7J4",-0.0166677299972368
"B5X363",-0.01666556553134
"B5DG97",-0.0166634998718
"A0A1S3RUQ1",-0.0166603236678651
"A0A1S3M2L2",-0.0166597631968041
"B5X2R0",-0.01665960334276
"A0A1S3PTK9",-0.0166589293543651
"A0A1S3PH10",-0.0166585505779991
"A0A1S3MBI7",-0.0166582625164829
"B5DGY3",-0.0166574654657237
"B5DGX5",-0.0166566593787049
"B5X1K6",-0.0166499054567242
"A0A1S3RBL9",-0.0166493529064811
"A0A1S3MDZ0",0.0166485599604867
"A0A1S3NBL9",-0.0166485598692726
"A0A1S3N8B1",-0.016648206213219
"B5XDR0",-0.0166468088293912
"A0A1S3N0V8",-0.0166454897439196
"B5X1W2",-0.0166453917559658
"B5XB51",-0.0166447316789255
"A0A1S3SKU9",-0.0166435944241148
"A0A1S3NPA5",-0.0166384023335207
"A0A1S3RCZ0",-0.0166365426538854
"B5XEA8",-0.0166355950567064
"A0A1S3QD58",-0.0166354660965393
"A0A1S3M916",-0.0166271384736718
"C0H9G0",-0.0166268775045843
"B5X2X8",0.0166268042914076
"A0A1S3MDF3",-0.0166261482572637
"A0A1S3L3U6",-0.0166250485261745
"A0A1S3RYT3",-0.016621363406387
"A0A1S3RQL9",-0.0166191196631653
"A0A1S3KTE9",-0.0166120460630903
"A0A1S3QG57",-0.0166082844158455
"A0A1S3NYN7",-0.0166081376171835
"A0A1S3NHN7",-0.0166047940011838
"B5XC74",-0.0166002980038924
"A0A1S3NDV8",-0.0165974907983697
"A0A1S3T5R0",-0.0165968570836534
"A0A1S3N6B7",-0.0165966056107241
"B5X6E1",-0.0165965077263681
"A0A1S3PTY0",-0.0165948013616871
"A0A1S3SBB1",-0.0165945534943083
"A0A1S3NE42",-0.0165937831234472
"A0A1S3L7V7",-0.0165921623081942
"A0A1S3N7F9",-0.0165902515724037
"A0A1S3S2U7",-0.0165896728097277
"A0A1S3KU89",-0.0165877191593347
"B5X3M0",-0.0165869743082648
"B5X141",-0.0165847385853297
"B5RI21",-0.0165812930771556
"B5X4R7",-0.0165799884846316
"A0A1S3LCY0",-0.0165782546496467
"A0A1S3MIL1",-0.0165779248355023
"A0A1S3Q7E5",-0.0165773397130634
"A0A1S3SCN3",-0.0165759502740243
"A0A1S3PL98",-0.0165743398230721
"B5X1Z0",-0.0165738636783578
"A0A1S3KRV5",-0.0165652506334118
"C0HA06",-0.0165650608476976
"A0A1S3QNF3",-0.0165642054830312
"A0A1S3MDG1",-0.0165632113544597
"A0A1S3RL20",-0.0165608403695743
"B5X3A5",-0.0165600545792302
"B5X8X7",-0.0165596035536647
"H5ZTW4",-0.0165564453388474
"A0A1S3PBW1",-0.0165557900587763
"A0A1S3KJ87",-0.0165548662283966
"A0A1S3MB69",-0.0165544982772176
"B5X9F8",0.0165530640154956
"A0A1S3KLK2",-0.0165521508768348
"B5X931",-0.016549617726205
"B5X274",-0.0165491265520304
"A0A1S3NN86",-0.0165477181953221
"A0A1S3QS03",-0.0165458971574285
"A0A1S3S4W9",-0.0165448133692465
"A0A1S3QCY2",-0.0165427406665262
"A0A1S3LHW2",-0.0165426525664686
"A0A1S3R4X3",-0.0165416207753879
"A0A1S3QLG9",-0.0165407164817626
"A0A1S3QN63",-0.0165398750227644
"A0A1S3QA05",-0.016539093335146
"B5DGE0",-0.0165381551905331
"B5X0U5",-0.0165377486100444
"A0A1S3KSQ5",-0.0165365878156031
"A0A1S3NN55",0.0165310986645081
"A0A1S3N6C9",-0.0165310194300517
"A0A1S3SUX1",-0.0165276815265088
"B5X8C1",-0.0165271514550969
"A0A1S3LER8",-0.0165259511730177
"A0A1S3QL22",-0.0165244167191737
"A0A1S3S7N8",-0.0165227487530367
"A0A1S3NQF9",-0.01652071056493
"A0A1S3Q7X9",-0.0165178844575177
"A0A1S3M6T7",-0.016517526145576
"A0A1S3SNT4",-0.0165173440795924
"A0A1S3N262",-0.0165148974638312
"A0A1S3MIW8",-0.0165140921273737
"A0A1S3P4X5",-0.0165139381096555
"A0A1S3QFW0",-0.0165138572449037
"A0A1S3RM13",-0.0165135194407311
"A0A1S3KKW8",-0.0165074852560093
"B9EPT4",-0.0165050154435144
"A0A1S3PX52",-0.016504903483286
"A0A1S3KM75",-0.0165026396084924
"A0A1S3T3M2",-0.0165015530288149
"A0A1S3SF36",-0.0164983416832773
"A0A1S3RC11",-0.0164975701882881
"A0A1S3LZ47",-0.0164971484461842
"A0A1S3KUZ1",-0.0164963801861349
"A0A1S3S6M8",-0.0164959402573323
"A0A1S3LZP6",-0.0164958873082569
"B5DGC8",-0.0164932979520193
"A0A1S3M5Z1",-0.0164931422974717
"A0A1S3R260",-0.0164931367995804
"A0A1S3MIE4",-0.0164842764454977
"A0A1S3RF75",-0.0164839023965641
"A0A1S3RTM3",-0.0164818087906856
"A0A1S3PGN8",-0.0164809643598907
"B5XBK5",-0.0164800566258925
"A0A1S3SDY0",-0.0164768767985543
"A0A1S3Q1W0",-0.0164758153075488
"A0A1S3LAS5",-0.01647298104171
"A0A1S3QMK4",-0.0164726306015284
"A0A1S3NBR5",-0.0164721608863992
"B5X5R2",-0.0164692160651186
"A0A1S3QSP3",-0.0164686466866936
"B5DGH2",-0.0164653501894477
"B5X5G4",-0.0164652672350047
"A0A1S3Q6S9",-0.0164649286539278
"B5DGY5",-0.0164640030216643
"A0A1S3MN14",-0.0164629354018934
"A0A1S3LUF2",-0.0164606986102472
"A0A1S3T374",-0.0164602935705944
"B5X6N3",0.0164601213710678
"A0A1S3NG25",-0.0164600594022716
"A0A1S3S5D9",-0.0164598367733148
"B5X3M7",-0.0164592487132616
"A0A1S3RSQ4",-0.0164592026761643
"A0A1S3PV38",-0.0164585455442625
"A0A1S3RX62",-0.0164579821507123
"A0A1S3QL47",-0.0164579178777722
"B5X2W5",0.0164566146333152
"A0A1S3KL41",-0.0164555474362936
"A0A1S3M3Z0",-0.0164555199042675
"A0A1S3PAJ7",-0.0164514807816064
"A0A1S3KNE5",-0.0164497985785008
"A0A1S3NTT5",-0.016448882388857
"A0A1S3KV68",-0.0164472744014215
"A0A1S3RGB0",-0.0164472249242995
"A0A1S3NUZ8",-0.0164462616972261
"B5X1M6",-0.0164461109030549
"A0A1S3LLM9",-0.016445200116662
"A0A1S3Q1P5",-0.0164447351942788
"B5XBL0",-0.0164444801621939
"A0A1S3R2G7",-0.0164437809182613
"A0A1S3LSX3",-0.0164429478463948
"A0A1S3R7I8",-0.016442754777753
"A0A1S3S073",-0.0164417241334273
"A0A1S3MB21",-0.016441381016679
"C0H7U8",-0.0164410328076468
"A0A1S3SXR5",-0.0164375133636418
"A0A1S3MKN8",-0.0164351831789771
"A0A1S3NPJ1",-0.0164333312659411
"A0A1S3LLW4",-0.0164326271348853
"B5XGQ0",-0.0164320425922559
"A0A1S3NMR5",-0.0164320090166701
"A0A1S3SUV5",-0.0164319893834723
"A0A1S3N1E7",-0.0164316904026182
"B5X1G2",-0.0164306390709193
"B5X5B2",-0.0164301856124693
"C0HAN0",-0.0164297262034149
"A0A1S3LTW8",-0.016428808867513
"B5DGH7",-0.0164286968185393
"A0A1S3P8C0",-0.0164278346172961
"C0H8L1",-0.0164271137475503
"A0A1S3LML8",-0.0164237169087646
"B9ELC1",-0.016423385209268
"A0A1S3RNQ4",-0.0164206843257951
"A0A1S3RUM5",-0.0164181583477842
"B5XF91",-0.0164148771922092
"A0A1S3R4C5",-0.0164143309369928
"A0A1S3S5F6",-0.0164143255801107
"A0A1S3NAY7",-0.0164143160563263
"C0H7D2",-0.0164138472596413
"B5X383",-0.0164124645543519
"A0A1S3S9I3",-0.0164111368996685
"A0A1S3RN63",-0.0164098608090675
"A0A1S3M0B2",-0.0164096874999168
"B5X228",-0.016408462327296
"A0A1S3SYE1",-0.0164084377753076
"A0A1S3PYA2",-0.0164082548186973
"B5X373",-0.0164078614430936
"A0A1S3LS19",-0.0164077676092058
"A0A1S3N962",-0.0164068148050406
"B5X4E3",-0.0164038994609126
"A0A1S3RHL7",-0.0164022657209032
"A0A1S3RS46",-0.0164016578393061
"B5X9F1",-0.0164008726733453
"A0A1S3Q618",-0.016398242335822
"A0A1S3SQP6",-0.0163978335084995
"A0A1S3KKT1",-0.016397188832944
"A0A1S3KTW5",-0.0163960673079719
"B5X201",-0.0163956601518019
"A0A1S3S0L6",-0.0163912596679393
"A0A1S3NUA3",-0.0163884574631574
"B5X1W1",-0.0163843589367908
"B5X3E8",-0.0163832444231892
"A0A1S3SFE1",-0.016381133363206
"B5X3D1",-0.0163807912105325
"B9ELQ8",-0.0163768619742674
"A0A1S3REC5",-0.0163758545369673
"B5X7I1",-0.0163757560438576
"B5XCI2",-0.0163745422142198
"A0A1S3MGH4",-0.0163735940787522
"A0A1S3MG63",-0.0163735038687394
"A0A1S3RE09",0.0163732292891
"A0A1S3N5S5",-0.0163732053342369
"C0HAR9",-0.0163717902628581
"A0A1S3M2H4",-0.0163698045037585
"A0A1S3LVK0",-0.0163697381776285
"C0HAF2",-0.0163696741459912
"B5X3E6",-0.0163692888021933
"A0A1S3MK08",-0.0163689225159614
"B5X340",-0.0163682398671307
"A0A1S3LZ65",-0.0163669471798648
"A0A1S3KKY2",-0.0163655259388346
"B5DG63",-0.0163635982517345
"A0A1S3MIZ4",-0.016363517746134
"A0A1S3S2A3",-0.0163628624777092
"A0A1S3KP65",0.0163608656903288
"B5DGK2",-0.0163607183105921
"A0A1S3N1D8",-0.0163603844633609
"A0A1S3M054",-0.0163601663944212
"B5XGQ3",-0.0163598127381675
"A0A1S3LJJ1",-0.0163584710488812
"A0A1S3MGG2",0.0163582827943267
"B5DGD5",-0.0163538184596136
"A0A1S3M776",-0.0163534840288623
"A0A1S3PAQ7",-0.0163525517593832
"A0A1S3T578",-0.0163518761208233
"A0A1S3R5U7",-0.0163515814077947
"B5DGL0",-0.0163483840607758
"A0A1S3N6L0",-0.0163480437233286
"A0A1S3M918",-0.0163465602309036
"B9ELA9",-0.016345906374818
"A0A1S3ME41",-0.0163451377563924
"A0A1S3SD38",-0.0163449173440505
"A0A1S3T4M3",-0.0163441432820514
"B5X3Q3",-0.016344054621126
"A0A1S3LM54",0.0163422083131997
"A0A1S3RHY7",-0.0163420009331846
"B5XGD5",-0.0163419927068945
"B5X4K6",-0.0163413572545501
"B5DGH9",-0.0163405901840042
"A0A1S3RN35",-0.0163402823364293
"A0A1S3MD51",-0.0163400981205719
