Protein.Group;Protein.Names;Genes;First.Protein.Description;Muestra12;Muestra13;Muestra18;Muestra14;Muestra15;Muestra19;Muestra04;Muestra05;Muestra06;Muestra07;Muestra08;Muestra09;Muestra17;Muestra10;Muestra11;Muestra16;Muestra20;Muestra01;Muestra02;Muestra03;Muestra21;Muestra22;Muestra23;mean_abundance
A0A142L098   ;RNA helicase;MDA5;Belongs to the helicase family. RLR subfamily;76479,3;60861,7;71521,7;80976,1;101268;87895,9;88583,5;80647,2;84163,3;95996,3;85194,1;81137,5;6514,84;6860,89;10441;7218,14;9941,95;70052,6;72145,5;78785,8;76318,3;76383,9;81123,9;58399,63808
A0A1S2WYT7   ;UMP-CMP kinase 2, mitochondrial;cmpk2;Belongs to the thymidylate kinase family;166507;100740;103912;90792,9;133897;138250;169578;142784;158174;182483;159749;177951;;;;;;117075;154403;138108;119878;119196;119643;138506,7167
A0A1S2WYU5   ;IGF binding protein-related protein 1 precursor;igfbprp1;;24323,6;;22882;18494,3;;;17849,6;;;;17953,6;16497,4;;;;;;17694;16623,7;;21199,2;;;19303,75
A0A1S2X0R2   ;Transforming growth factor-beta-induced protein ig-h3;tgfbi;;34106,9;30087,8;27472,4;18058,1;12101,9;;12818,5;22944,9;15857,8;8309,81;20294,5;26467,4;35093,3;37301,1;47968,1;40132,9;41486,4;18235,4;18079,6;22511,6;21116,7;19847,9;16979,8;27143,7924
A0A1S2X3Z6   ;Fructose-bisphosphate aldolase;LOC100194623;Belongs to the class I fructose-bisphosphate aldolase family;7722,06;5700,81;11522,3;;4663,27;3835,03;19070,4;18319,7;20484,7;14646,9;8169,88;19307,9;5411,44;5292,83;5386,33;;3912;18161,8;;;;;;10495,88059
A0A1S2X433   ;Antigen KI-67;ki67;;13765;;10317,5;;;;;;;;;6086,98;;;;;;11359,6;8534,44;7691,42;17627,3;8934,94;;10539,6475
A0A1S2X522   ;Beta-enolase;LOC100196671;Belongs to the enolase family;17188,4;12160,1;29955,7;14876,1;;14799;33915,6;52141;31200,6;32512,1;22772,9;37046,2;63773,5;54621,1;29176,4;43562,1;71742;33552,9;16431,5;;19150,7;;;34790,64091
A0A1S2X8A4   ;Peroxiredoxin-like 2A;selu;Belongs to the peroxiredoxin-like PRXL2 family. PRXL2A subfamily;7635,72;7395,7;5135,58;7475,99;6899,36;7003,77;6069,49;9487,99;6001,31;11175,9;5587,35;5802,37;;;;;;9416,81;8227,26;12869,7;5888,21;6086,36;8996,91;7369,286316
A0A1S3KHW8   ;Putative hydroxypyruvate isomerase;hyi;Belongs to the hyi family;19277,4;34128,5;21023,6;35986,6;22330,1;23441,9;12443,5;12342,5;14675,6;;12372,8;16555,6;15140,5;12774,9;13008,9;;21304,5;12047,2;18527,1;17897,7;;;19252,3;18845,265
A0A1S3KHZ2   ;ubiquitinyl hydrolase 1;LOC106560231;Belongs to the peptidase C19 family;15092,6;33021,9;26223,9;31438,1;29970,8;27447,9;41701,5;44946,2;46560,4;34306,5;40046,9;42610,8;;;;;;23509,4;27009,9;26492,6;;27992,9;29844,5;32248,04706
A0A1S3KI41   ;Anaphase-promoting complex subunit 4;anapc4;;147166;216871;181358;206761;203020;205683;178836;166318;193676;279120;190559;185404;;;;46130,9;;188374;179096;239918;121253;164713;205988;184223,4158
A0A1S3KI99   ;E3 ubiquitin-protein ligase LNX-like isoform X2;LOC106560268;;11172,6;18747,4;14002,6;12930,3;15399,6;12973,5;16917,4;12713,7;14434;9243,16;11725,9;12470,5;;;;;;13060,6;10281,8;13114,1;14220,9;14804,6;13494,4;13428,17
A0A1S3KIB9   ;Ubiquitin carboxyl-terminal hydrolase;uchl5;Belongs to the peptidase C12 family;186435;136581;169022;110893;199024;178450;211074;168084;176591;184078;189732;190522;19670,1;;;;31197,5;189650;193054;158286;93716;145902;165941;143434,9955
A0A1S3KIC1   ;Exocyst complex component 1-like isoform X1;LOC106560275;Belongs to the SEC3 family;9012,12;;;;;;;;;;;;;;;;;;;;;;;9012,12
A0A1S3KID5   ;Uncharacterized protein LOC106560280 isoform X2;LOC106560280;"In the C-terminal section; belongs to the AIR carboxylase family. Class II subfamily";405775;464134;384640;540728;539859;475486;470610;499140;537710;533010;432166;538390;292036;290424;403355;172995;260726;448670;449773;391909;363860;388601;445781;406714,8462
A0A1S3KIE3   ;Nucleoprotein TPR-like isoform X1;LOC106560285;;111381;87672,6;108632;96326;96090,9;91600,2;91835,1;83085,6;85415,7;93663,6;92030,4;92306,2;28084,4;29625,4;32992,3;46912,7;33550,4;89546,4;89931;93000;114539;102532;88837;76175,63462
A0A1S3KIF4   ;Plasminogen activator inhibitor 1 RNA-binding protein-like isoform X1;LOC106560288;Belongs to the SERBP1-HABP4 family;227097;135158;200848;202244;258988;225863;284778;255356;257396;277157;295364;247463;116831;108009;259876;130882;182808;332182;302362;245969;370222;273907;277782;231869,9615
A0A1S3KIH5   ;Glutaredoxin-2, mitochondrial;glrx2;Belongs to the glutaredoxin family;;;;;;;;;;;;;15466,2;11088,2;15463,6;;;;;;;;;15290,475
A0A1S3KIM4   ;Sec1 family domain-containing protein 2-like;LOC106560266;Belongs to the STXBP/unc-18/SEC1 family;27734,9;31763,7;31755,1;30162,8;26906,6;28224,6;36541,1;37966,4;35973,2;34910;42949;44020,5;10473,2;11151,8;7627,65;3503,1;8948,23;24617,8;27218;23662,5;17797,5;29027,2;32298,4;24989,6312
A0A1S3KIP6   ;Guanine nucleotide-binding protein subunit gamma;LOC106560325;Belongs to the G protein gamma family;42443,5;25704,5;32899,5;28714,1;52934;39228,3;28220,4;30745,4;31702,7;43003,6;41314,9;40540,3;44120,2;44324,5;25532,3;39122;37368,4;52253,5;46455,2;49608,6;39191,5;50635;45011,1;38817,21538
A0A1S3KIR6   ;Mediator of RNA polymerase II transcription subunit 8;med8;Belongs to the Mediator complex subunit 8 family;13386,8;12474,4;;9581;11141,4;11240,2;11812,4;12911,2;12584,1;12739,7;12604,2;11475,2;;9247,73;;;12141;13757,3;13961,1;11859,5;;13055,1;;12446,36474
A0A1S3KIS1   ;Receptor-type tyrosine-protein phosphatase F;ptprf;Belongs to the protein-tyrosine phosphatase family. Receptor class 2A subfamily;9780,56;8537,05;8865,5;9076,32;14554,8;10756,5;11270,6;11305,5;14055,2;10957,9;13903,2;16225,2;;;;;;;14405,7;;;;;11151,99429
A0A1S3KIS6   ;Receptor-type tyrosine-protein phosphatase F;ptprf;Belongs to the protein-tyrosine phosphatase family. Receptor class 2A subfamily;21124,5;;;12466,7;;;;;10475,9;;;;;9989,14;9045,15;;;;;;;;;12620,278
A0A1S3KIW2   ;Growth hormone-inducible transmembrane protein-like;LOC106560291;Belongs to the BI1 family;;;;;;;;;;9898,25;11710,3;;;;;;;9228,36;;16472,2;;11040,1;15992,2;12390,235
A0A1S3KIX0   ;Pyrroline-5-carboxylate reductase 3;pycrl;Belongs to the pyrroline-5-carboxylate reductase family;42132,8;44995,4;40242,2;44028,1;38982,9;37850;37028;39430,1;43890,5;25605,1;31667,9;47151,1;18696,4;24898,5;27101,6;9386,13;15149,4;37265,6;39168,9;42121,6;37628,6;46149,4;35321,7;33845,2452
A0A1S3KIX9   ;Desmoglein-2-like;LOC106560363;;136218;102596;106671;40140,3;56594,2;68306,3;75121,2;73215,7;77267,9;114189;119358;109178;176240;165240;177241;171868;195879;144793;132097;93881,8;149903;128048;119389;126296,8615
A0A1S3KIY4   ;Exocyst complex component 2;exoc2;Belongs to the SEC5 family;28072,2;35345,9;40195,3;44746,2;29436,4;30085,4;47811,1;51781,6;56165,4;41102,7;45510;45986;6305,31;;4485,39;;;49110;49735,4;45413,2;30366,5;49420,4;51231,7;37566,12
A0A1S3KJ28   ;Transthyretin;ttr;Belongs to the transthyretin family;193703;144905;237649;97054,2;68369,6;51002,4;60907,7;80952;87539;70790,7;141225;131669;71282;77594,4;82639,5;77889;120775;148970;106300;161492;99468,2;149733;131712;109425,2385
A0A1S3KJ30   ;GDP-L-fucose synthase;LOC106560379;Belongs to the NAD(P)-dependent epimerase/dehydratase family. Fucose synthase subfamily;802301;194099;678167;58120,3;270472;410625;252228;156938;113363;285811;193523;161778;7606,34;;;14717,4;17586;642770;549195;631719;527085;499587;438376;301502,667
A0A1S3KJ33   ;Desmocollin-2-like isoform X1;LOC106560389;;75752,2;66347,2;60703,1;42391,8;36732,6;39204,9;61341,8;59987,6;73900,9;77587,8;71787,1;74382,9;86139;95682,3;116320;108700;132015;68401,9;61580,6;51779,5;76078,1;55587,4;53100,2;76723,49615
A0A1S3KJ37   ;Gelsolin-like;LOC106560322;;3825940;3667990;4185000;3193160;3499890;4020750;3649010;3955320;3359680;5183070;4191010;3645630;5005390;4292160;5477300;4170480;4134100;4295880;4243920;3594480;5052860;4738260;4715580;4212308,462
A0A1S3KJ44   ;Desmoglein-2-like isoform X3;LOC106560387;;179688;147097;155889;204306;223804;197869;167472;163029;164364;327897;207534;176731;1647680;1578140;1456990;1370740;1529190;341441;317236;338509;453929;291035;278926;627804,0769
